monotonic_us,timestamp_us,lat,lon,alt,roll,pitch,yaw,vel_x,vel_y,vel_z
401874604,1761936371255083,0.000000000,0.000000000,0.000,1.421801,0.065426,-0.901249,0.000000,0.000000,0.000000
401881634,1761936371262114,0.000000000,0.000000000,0.000,1.421807,0.065426,-0.901250,0.000000,0.000000,0.000000
401888563,1761936371269042,0.000000000,0.000000000,0.000,1.421812,0.065434,-0.901237,0.000000,0.000000,0.000000
401895604,1761936371276083,0.000000000,0.000000000,0.000,1.421815,0.065438,-0.901239,0.000000,0.000000,0.000000
401902644,1761936371283124,0.000000000,0.000000000,0.000,1.421810,0.065446,-0.901229,0.000000,0.000000,0.000000
401909675,1761936371290155,0.000000000,0.000000000,0.000,1.421803,0.065440,-0.901235,0.000000,0.000000,0.000000
401916640,1761936371297119,0.000000000,0.000000000,0.000,1.421799,0.065433,-0.901237,0.000000,0.000000,0.000000
401923672,1761936371304151,0.000000000,0.000000000,0.000,1.421793,0.065430,-0.901238,0.000000,0.000000,0.000000
401930612,1761936371311091,0.000000000,0.000000000,0.000,1.421796,0.065420,-0.901234,0.000000,0.000000,0.000000
401937647,1761936371318126,0.000000000,0.000000000,0.000,1.421793,0.065427,-0.901233,0.000000,0.000000,0.000000
401944718,1761936371325197,0.000000000,0.000000000,0.000,1.421794,0.065427,-0.901239,0.000000,0.000000,0.000000
401951590,1761936371332069,0.000000000,0.000000000,0.000,1.421799,0.065433,-0.901246,0.000000,0.000000,0.000000
401958610,1761936371339089,0.000000000,0.000000000,0.000,1.421800,0.065418,-0.901249,0.000000,0.000000,0.000000
401965642,1761936371346121,0.000000000,0.000000000,0.000,1.421803,0.065418,-0.901245,0.000000,0.000000,0.000000
401972682,1761936371353161,0.000000000,0.000000000,0.000,1.421798,0.065413,-0.901252,0.000000,0.000000,0.000000
401979567,1761936371360046,0.000000000,0.000000000,0.000,1.421783,0.065417,-0.901261,0.000000,0.000000,0.000000
401986555,1761936371367034,0.000000000,0.000000000,0.000,1.421796,0.065422,-0.901254,0.000000,0.000000,0.000000
401993618,1761936371374098,0.000000000,0.000000000,0.000,1.421796,0.065430,-0.901252,0.000000,0.000000,0.000000
402000676,1761936371381155,0.000000000,0.000000000,0.000,1.421808,0.065440,-0.901259,0.000000,0.000000,0.000000
402007718,1761936371388197,0.000000000,0.000000000,0.000,1.421812,0.065437,-0.901263,0.000000,0.000000,0.000000
402014693,1761936371395172,0.000000000,0.000000000,0.000,1.421802,0.065449,-0.901260,0.000000,0.000000,0.000000
402021567,1761936371402046,0.000000000,0.000000000,0.000,1.421800,0.065441,-0.901264,0.000000,0.000000,0.000000
402028608,1761936371409087,0.000000000,0.000000000,0.000,1.421793,0.065437,-0.901272,0.000000,0.000000,0.000000
402035647,1761936371416126,0.000000000,0.000000000,0.000,1.421795,0.065437,-0.901279,0.000000,0.000000,0.000000
402042576,1761936371423055,0.000000000,0.000000000,0.000,1.421775,0.065436,-0.901269,0.000000,0.000000,0.000000
402049612,1761936371430091,0.000000000,0.000000000,0.000,1.421770,0.065437,-0.901279,0.000000,0.000000,0.000000
402056642,1761936371437121,0.000000000,0.000000000,0.000,1.421782,0.065443,-0.901273,0.000000,0.000000,0.000000
402063534,1761936371444013,0.000000000,0.000000000,0.000,1.421780,0.065441,-0.901279,0.000000,0.000000,0.000000
402070603,1761936371451082,0.000000000,0.000000000,0.000,1.421785,0.065443,-0.901293,0.000000,0.000000,0.000000
402077632,1761936371458111,0.000000000,0.000000000,0.000,1.421775,0.065443,-0.901296,0.000000,0.000000,0.000000
402084504,1761936371464983,0.000000000,0.000000000,0.000,1.421780,0.065448,-0.901296,0.000000,0.000000,0.000000
402091576,1761936371472056,0.000000000,0.000000000,0.000,1.421773,0.065453,-0.901292,0.000000,0.000000,0.000000
402098607,1761936371479086,0.000000000,0.000000000,0.000,1.421777,0.065455,-0.901289,0.000000,0.000000,0.000000
402105638,1761936371486117,0.000000000,0.000000000,0.000,1.421780,0.065460,-0.901290,0.000000,0.000000,0.000000
402112526,1761936371493005,0.000000000,0.000000000,0.000,1.421781,0.065456,-0.901283,0.000000,0.000000,0.000000
402119566,1761936371500046,0.000000000,0.000000000,0.000,1.421775,0.065452,-0.901286,0.000000,0.000000,0.000000
402126612,1761936371507091,0.000000000,0.000000000,0.000,1.421772,0.065454,-0.901283,0.000000,0.000000,0.000000
402133643,1761936371514122,0.000000000,0.000000000,0.000,1.421776,0.065458,-0.901279,0.000000,0.000000,0.000000
402140591,1761936371521070,0.000000000,0.000000000,0.000,1.421774,0.065472,-0.901287,0.000000,0.000000,0.000000
402147706,1761936371528185,0.000000000,0.000000000,0.000,1.421777,0.065476,-0.901290,0.000000,0.000000,0.000000
402154641,1761936371535120,0.000000000,0.000000000,0.000,1.421769,0.065482,-0.901284,0.000000,0.000000,0.000000
402161528,1761936371542007,0.000000000,0.000000000,0.000,1.421773,0.065478,-0.901280,0.000000,0.000000,0.000000
402168569,1761936371549048,0.000000000,0.000000000,0.000,1.421773,0.065468,-0.901298,0.000000,0.000000,0.000000
402175602,1761936371556081,0.000000000,0.000000000,0.000,1.421780,0.065470,-0.901306,0.000000,0.000000,0.000000
402182642,1761936371563121,0.000000000,0.000000000,0.000,1.421775,0.065484,-0.901291,0.000000,0.000000,0.000000
402189579,1761936371570058,0.000000000,0.000000000,0.000,1.421775,0.065494,-0.901290,0.000000,0.000000,0.000000
402196622,1761936371577101,0.000000000,0.000000000,0.000,1.421780,0.065507,-0.901280,0.000000,0.000000,0.000000
402203531,1761936371584010,0.000000000,0.000000000,0.000,1.421774,0.065511,-0.901277,0.000000,0.000000,0.000000
402210578,1761936371591057,0.000000000,0.000000000,0.000,1.421774,0.065501,-0.901264,0.000000,0.000000,0.000000
402217629,1761936371598108,0.000000000,0.000000000,0.000,1.421782,0.065497,-0.901266,0.000000,0.000000,0.000000
402224661,1761936371605140,0.000000000,0.000000000,0.000,1.421780,0.065495,-0.901261,0.000000,0.000000,0.000000
402231609,1761936371612088,0.000000000,0.000000000,0.000,1.421778,0.065498,-0.901257,0.000000,0.000000,0.000000
402238639,1761936371619118,0.000000000,0.000000000,0.000,1.421778,0.065497,-0.901264,0.000000,0.000000,0.000000
402245618,1761936371626097,0.000000000,0.000000000,0.000,1.421783,0.065496,-0.901262,0.000000,0.000000,0.000000
402252647,1761936371633126,0.000000000,0.000000000,0.000,1.421780,0.065496,-0.901253,0.000000,0.000000,0.000000
402259536,1761936371640016,0.000000000,0.000000000,0.000,1.421779,0.065493,-0.901249,0.000000,0.000000,0.000000
402266656,1761936371647135,0.000000000,0.000000000,0.000,1.421767,0.065494,-0.901244,0.000000,0.000000,0.000000
402273529,1761936371654008,0.000000000,0.000000000,0.000,1.421766,0.065489,-0.901246,0.000000,0.000000,0.000000
