timestamp,pqr_x,pqr_y,pqr_z,acc_x,acc_y,acc_z
1760391187034749,0.001114,0.000582,-0.002201,0.411429,-5.551636,-7.967215
1760391187035705,0.001523,-0.000663,-0.003834,0.408359,-5.556406,-7.970464
1760391187036671,0.002326,-0.001462,-0.001367,0.408371,-5.540430,-7.980092
1760391187037664,-0.003809,-0.001903,-0.000977,0.414725,-5.545202,-7.967302
1760391187038784,-0.001345,0.000156,-0.002229,0.416376,-5.550036,-7.979990
1760391187039749,-0.005009,-0.003141,-0.003460,0.422727,-5.551542,-7.972038
1760391187040705,0.000679,-0.001456,0.000262,0.422752,-5.549989,-7.967288
1760391187041726,-0.000957,-0.002709,0.000672,0.409975,-5.540415,-7.978512
1760391187042685,0.001083,-0.000619,0.000250,0.406714,-5.546821,-7.970524
1760391187043651,0.002320,-0.001048,-0.000560,0.414736,-5.556463,-7.979906
1760391187044766,0.002310,-0.002703,0.000271,0.405056,-5.551620,-7.965705
1760391187045722,-0.001706,-0.003970,-0.003430,0.411509,-5.549995,-7.975228
1760391187046679,0.001112,-0.000235,-0.003425,0.402063,-5.548473,-7.987991
1760391187047635,0.001134,0.001394,-0.004663,0.409948,-5.540473,-7.973755
1760391187048750,0.003164,0.001000,-0.002596,0.413121,-5.551634,-7.972008
1760391187049706,-0.001336,-0.001898,-0.001380,0.417870,-5.545165,-7.970398
1760391187050680,-0.002152,0.000161,-0.000997,0.414768,-5.551642,-7.975177
1760391187051637,0.003150,-0.002706,-0.001357,0.424216,-5.542055,-7.968837
1760391187052751,0.002323,0.000178,-0.003018,0.421083,-5.535627,-7.965735
1760391187053708,-0.000104,0.000164,-0.004267,0.409732,-5.541975,-7.953011
1760391187054666,-0.002138,-0.002300,-0.001406,0.409946,-5.551634,-7.973651
1760391187055622,0.002738,-0.000634,-0.004656,0.411589,-5.556382,-7.978408
1760391187056736,-0.002997,-0.001475,-0.001814,0.408226,-5.548319,-7.956206
1760391187057703,-0.000483,-0.003569,-0.005064,0.424304,-5.543560,-7.970434
1760391187058668,0.000715,-0.002314,-0.004264,0.413056,-5.545200,-7.973614
1760391187059639,0.001128,0.002217,-0.003437,0.409958,-5.537290,-7.984860
1760391187060759,-0.001748,-0.001065,-0.001822,0.409950,-5.548355,-7.967346
1760391187061723,0.000701,-0.002720,-0.003019,0.408299,-5.562757,-7.965643
1760391187062685,-0.001728,-0.002315,-0.004664,0.398831,-5.548400,-7.972182
1760391187063646,0.001118,0.000145,-0.001788,0.403580,-5.546878,-7.975279
1760391187064775,-0.000491,-0.001910,-0.005882,0.406784,-5.537237,-7.981706
1760391187065788,-0.002150,-0.000658,-0.003851,0.403563,-5.543722,-7.984852
1760391187066754,0.000316,0.000169,-0.003435,0.413109,-5.532426,-7.976910
1760391187067717,0.004366,-0.001459,0.000688,0.409856,-5.540349,-7.959381
1760391187068679,0.000755,-0.003526,-0.004235,0.398787,-5.551557,-7.961040
1760391187069637,0.003558,-0.000246,-0.000938,0.416269,-5.546760,-7.967264
1760391187070755,0.001507,-0.001888,-0.000548,0.409823,-5.543633,-7.959383
1760391187071725,-0.002590,0.000601,-0.001829,0.422601,-5.541945,-7.965635
1760391187072681,-0.002160,-0.002302,-0.000990,0.414822,-5.545187,-7.970575
1760391187073638,0.004357,-0.000197,-0.000550,0.401934,-5.545228,-7.967401
1760391187074754,-0.002169,0.000584,-0.000174,0.413270,-5.553224,-7.987956
1760391187075711,0.001911,0.001028,0.000667,0.406888,-5.553267,-7.989591
1760391187076667,-0.001365,0.000596,0.001054,0.403621,-5.551654,-7.978474
1760391187077782,-0.000132,0.001829,0.000247,0.414755,-5.550030,-7.979983
1760391187078747,-0.003813,-0.004767,0.001903,0.408216,-5.540396,-7.961007
1760391187079704,-0.000094,-0.002701,-0.001370,0.406751,-5.551574,-7.968918
1760391187080818,0.004332,-0.001857,0.000291,0.401838,-5.545139,-7.945174
1760391187081624,0.000716,-0.001901,-0.002606,0.421220,-5.546779,-7.975244
1760391187082740,0.001108,-0.003115,-0.002596,0.416317,-5.554755,-7.967280
1760391187083698,-0.000542,-0.001019,0.001065,0.403558,-5.548419,-7.968923
1760391187084655,0.001958,0.000185,-0.003017,0.414740,-5.551614,-7.975181
1760391187085632,0.002312,-0.001873,-0.001360,0.417827,-5.554755,-7.952927
1760391187086746,0.003946,0.000190,-0.002603,0.416408,-5.556377,-7.983074
1760391187087703,0.001919,-0.004747,-0.001768,0.401946,-5.559587,-7.964137
1760391187088659,0.000708,-0.005174,-0.002189,0.409945,-5.556373,-7.962517
1760391187089627,-0.002192,0.002252,-0.001422,0.408380,-5.546868,-7.967397
1760391187090743,0.000678,-0.002692,0.000253,0.416297,-5.559520,-7.970372
1760391187091699,-0.000546,0.000186,-0.000996,0.421070,-5.548286,-7.962462
1760391187092823,-0.000153,0.002259,0.000640,0.409873,-5.548367,-7.971998
1760391187093629,-0.000520,0.001803,-0.001397,0.406825,-5.556419,-7.983222
1760391187094744,-0.001329,-0.003987,-0.002597,0.408383,-5.543607,-7.980058
1760391187095704,-0.004573,-0.002734,-0.003455,0.403496,-5.558021,-7.967275
1760391187096721,0.003540,-0.001863,0.001910,0.417893,-5.554716,-7.971923
1760391187097685,-0.004579,-0.000670,-0.002650,0.424301,-5.548293,-7.972029
1760391187098810,0.004362,0.000596,-0.002596,0.416298,-5.535644,-7.968967
1760391187099631,-0.000939,-0.001486,-0.000976,0.422567,-5.545141,-7.951365
1760391187100747,-0.000537,0.000620,-0.000983,0.400413,-5.550001,-7.967395
1760391187101705,-0.000930,-0.003561,-0.004241,0.390724,-5.553171,-7.959498
1760391187102668,0.000706,-0.001067,-0.003422,0.417926,-5.548334,-7.960941
1760391187103629,0.001926,-0.000235,-0.003023,0.404992,-5.554731,-7.941869
1760391187104744,-0.003794,-0.001901,-0.003459,0.414709,-5.551580,-7.964151
1760391187105702,-0.001735,-0.006019,-0.001365,0.422768,-5.537214,-7.981589
1760391187106677,-0.000550,-0.001469,-0.000175,0.408224,-5.543533,-7.959327
1760391187107635,0.001897,-0.002687,0.002320,0.424175,-5.542021,-7.968789
1760391187108749,-0.000110,-0.001041,-0.001395,0.416317,-5.541991,-7.972064
1760391187109708,0.000711,0.000191,-0.001381,0.416263,-5.538787,-7.967325
1760391187110828,-0.000500,0.002214,-0.002222,0.419386,-5.543582,-7.965632
1760391187111629,0.001922,0.001830,-0.003436,0.417921,-5.543570,-7.970464
1760391187112744,-0.003389,-0.001057,-0.002231,0.413184,-5.543628,-7.981630
1760391187113710,0.001495,0.002230,-0.002623,0.409906,-5.545173,-7.970477
1760391187114666,0.003562,-0.000252,-0.003423,0.411504,-5.562770,-7.962492
1760391187115623,-0.000114,0.003057,-0.001803,0.419442,-5.545178,-7.967250
1760391187116737,-0.001335,0.000562,-0.003446,0.421107,-5.540376,-7.972042
1760391187117693,-0.001348,-0.002706,-0.000152,0.417953,-5.557940,-7.978346
1760391187118650,-0.000521,-0.001488,-0.001797,0.419468,-5.548332,-7.973571
1760391187119764,0.000265,-0.001464,0.001075,0.405164,-5.553210,-7.973665
1760391187120730,-0.000093,-0.000243,-0.003045,0.411340,-5.540411,-7.954555
1760391187121687,-0.000130,-0.003512,0.001886,0.413065,-5.554751,-7.965646
1760391187122801,-0.000527,-0.002696,-0.000557,0.424268,-5.559540,-7.967103
1760391187123758,0.001926,-0.003931,-0.002611,0.419462,-5.545211,-7.968838
1760391187124715,0.001142,-0.001073,-0.004669,0.424259,-5.553136,-7.971939
1760391187125829,-0.000906,-0.003154,-0.003423,0.405217,-5.561132,-7.970491
1760391187126627,-0.000134,0.000996,0.000663,0.405106,-5.543563,-7.968942
1760391187127751,0.001132,-0.001042,-0.000175,0.406697,-5.559665,-7.973570
1760391187128708,0.000690,0.001828,-0.002225,0.409729,-5.551626,-7.962438
1760391187129664,-0.002164,-0.002291,-0.000579,0.401936,-5.553165,-7.964157
1760391187130620,-0.001726,0.001425,-0.002643,0.406757,-5.537163,-7.967412
1760391187131736,-0.002930,-0.002735,-0.003033,0.408308,-5.540380,-7.973706
1760391187132695,-0.001311,-0.005610,-0.003010,0.416232,-5.548351,-7.959292
1760391187133651,0.001072,-0.000623,0.000240,0.422757,-5.546748,-7.970434
1760391187134779,-0.000958,0.000594,0.001461,0.408190,-5.545158,-7.960927
1760391187135736,0.001901,-0.005573,0.001527,0.416352,-5.548409,-7.975263
1760391187136692,-0.000123,0.001829,-0.003026,0.398668,-5.526058,-7.973827
1760391187137807,0.000654,0.003069,0.001046,0.406736,-5.546787,-7.965791
1760391187138763,0.000681,0.001434,-0.003036,0.414674,-5.549943,-7.962553
1760391187139719,0.002320,-0.001049,-0.002605,0.411565,-5.548372,-7.968906
1760391187140834,0.001475,0.000618,0.001481,0.414657,-5.543603,-7.970451
1760391187141706,-0.002560,-0.001900,-0.003027,0.411522,-5.557955,-7.959307
1760391187142664,-0.000512,0.001413,-0.001806,0.417922,-5.553171,-7.971975
1760391187143778,-0.000535,-0.002714,-0.001787,0.416205,-5.545169,-7.962492
1760391187144734,0.000310,-0.001056,0.000263,0.419536,-5.564370,-7.983006
1760391187145691,-0.000913,0.002219,-0.001806,0.419411,-5.532413,-7.967311
1760391187146652,0.002335,-0.003934,-0.001775,0.405018,-5.545234,-7.959362
1760391187147629,-0.001366,-0.000643,-0.002235,0.419534,-5.550014,-7.972015
1760391187148753,0.001087,-0.003104,0.000270,0.405114,-5.549959,-7.960991
1760391187149710,-0.002175,0.001405,0.000631,0.416283,-5.548391,-7.976752
1760391187150666,-0.003385,-0.002292,-0.002206,0.408242,-5.537231,-7.961038
1760391187151636,0.001520,-0.003930,-0.002173,0.409907,-5.545188,-7.968902
1760391187152751,0.000349,-0.004376,-0.005471,0.408377,-5.565977,-7.965663
1760391187153708,-0.003758,-0.002300,-0.003040,0.417929,-5.549973,-7.968899
1760391187154665,-0.003419,-0.001888,0.001057,0.405061,-5.557998,-7.957708
1760391187155642,-0.000120,-0.000236,-0.002616,0.413165,-5.542093,-7.980042
1760391187156757,-0.002532,-0.001075,-0.003446,0.406668,-5.543632,-7.967334
1760391187157713,-0.001731,-0.001072,-0.002228,0.424258,-5.546770,-7.970411
1760391187158828,-0.000509,-0.000255,-0.004676,0.422752,-5.543673,-7.979972
1760391187162542,-0.000529,-0.001493,-0.002612,0.419493,-5.546817,-7.976764
1760391187162552,-0.000963,-0.003535,0.000662,0.417896,-5.549972,-7.971984
1760391187162556,-0.000939,0.003098,-0.000584,0.400292,-5.548343,-7.954662
1760391187162730,0.001532,0.002257,-0.002200,0.414758,-5.551540,-7.964138
1760391187163689,0.004334,0.001014,-0.000127,0.416280,-5.548381,-7.962533
1760391187164805,0.001499,0.000591,-0.000563,0.424244,-5.557991,-7.973475
1760391187165764,0.001095,-0.002300,-0.000541,0.405146,-5.545236,-7.970534
1760391187166723,-0.000075,-0.003158,-0.004653,0.411490,-5.546817,-7.965719
1760391187167681,-0.001755,0.000145,-0.002218,0.406815,-5.554782,-7.975266
1760391187168639,0.002365,-0.001067,-0.003425,0.403596,-5.548376,-7.972135
1760391187169766,-0.000083,-0.000251,-0.000976,0.408318,-5.545200,-7.972074
1760391187170725,-0.002162,0.002224,-0.001423,0.405167,-5.540445,-7.980107
1760391187171684,0.000322,0.002239,-0.003028,0.411649,-5.551636,-7.987937
1760391187172643,0.001129,-0.004363,-0.001763,0.410001,-5.553184,-7.967336
1760391187173763,0.003542,-0.000221,-0.001766,0.405324,-5.561283,-7.972148
1760391187174725,0.002293,-0.001042,-0.000139,0.411668,-5.554786,-7.984773
1760391187175684,0.001497,-0.000208,0.001507,0.403627,-5.549998,-7.972194
1760391187176662,0.000278,0.002267,0.001881,0.401932,-5.559523,-7.964120
1760391187177620,-0.001339,0.001010,-0.002216,0.406865,-5.549984,-7.987965
1760391187178735,0.000707,-0.001872,-0.003014,0.422706,-5.538781,-7.981523
1760391187179691,0.003561,-0.000650,-0.002169,0.424225,-5.545162,-7.971971
1760391187180647,-0.000493,-0.001046,-0.002617,0.421051,-5.548352,-7.968780
1760391187181762,0.001932,0.000595,-0.002626,0.419459,-5.543661,-7.975174
1760391187182721,0.001508,0.000595,0.000245,0.414907,-5.554812,-7.989492
1760391187183942,-0.000524,-0.001069,-0.002215,0.426015,-5.546831,-7.987903
1760391187184742,0.001089,-0.000641,-0.002614,0.417977,-5.548446,-7.979958
1760391187185698,-0.000084,-0.001045,-0.002610,0.419388,-5.549963,-7.954549
1760391187186655,0.001532,0.001004,-0.003015,0.393983,-5.551628,-7.970608
1760391187187621,-0.002130,-0.002321,-0.003856,0.403576,-5.543603,-7.973787
1760391187188736,-0.000949,-0.000652,-0.000980,0.416334,-5.543606,-7.975214
1760391187189692,0.001086,0.000600,-0.000971,0.417879,-5.529290,-7.976871
1760391187190665,0.002743,0.001415,-0.001359,0.414881,-5.559619,-7.980032
1760391187191782,-0.001358,-0.003115,0.001466,0.414708,-5.557935,-7.964073
1760391187192741,-0.000520,0.002217,-0.003457,0.416232,-5.546775,-7.964102
1760391187193699,0.000698,-0.001452,0.000269,0.406727,-5.565944,-7.967236
1760391187194820,0.000280,0.000603,-0.001813,0.406827,-5.559549,-7.968903
1760391187195620,-0.000097,-0.000245,-0.001376,0.416295,-5.545222,-7.971985
1760391187196649,0.000296,-0.003922,-0.000555,0.411509,-5.534037,-7.973697
1760391187197630,-0.005433,-0.000247,-0.003471,0.413100,-5.562749,-7.970394
1760391187198747,-0.001751,-0.002720,-0.001784,0.408327,-5.557934,-7.967276
1760391187199705,-0.001320,-0.003135,-0.004258,0.417939,-5.540391,-7.975275
1760391187200663,-0.000880,-0.002312,-0.004257,0.427465,-5.540391,-7.978349
1760391187201620,0.000695,-0.000244,-0.002213,0.403569,-5.550020,-7.972123
1760391187202737,-0.001330,-0.001063,-0.003864,0.406692,-5.551645,-7.968869
1760391187203695,-0.000540,-0.003951,-0.000152,0.422703,-5.561174,-7.965578
1760391187204686,0.000291,-0.001885,-0.000565,0.411459,-5.556400,-7.960889
1760391187205644,-0.000564,0.000231,0.002298,0.419563,-5.551631,-7.979944
1760391187206761,-0.001318,-0.001072,-0.005071,0.421248,-5.561190,-7.986266
1760391187207719,-0.002178,-0.001476,-0.002209,0.421146,-5.556348,-7.971991
