monotonic_us,timestamp_us,lat_deg,lon_deg,week,timeOfWeek_s,insStatus,hdwStatus,alt_m,roll_rad,pitch_rad,yaw_rad,vel_U_m_s,vel_V_m_s,vel_W_m_s,ned_N_m,ned_E_m,ned_D_m
416625,1763331362828867,0.000000000,0.000000000,1,215463.083346,329745,33554432,0.000,1.402958,0.018746,-1.016734,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
423757,1763331362835998,0.000000000,0.000000000,1,215463.090346,329745,33554432,0.000,1.402959,0.018742,-1.016735,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
430625,1763331362842866,0.000000000,0.000000000,1,215463.097346,329745,33554432,0.000,1.402963,0.018728,-1.016743,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
437756,1763331362849997,0.000000000,0.000000000,1,215463.104346,329745,33554432,0.000,1.402960,0.018734,-1.016747,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
444724,1763331362856966,0.000000000,0.000000000,1,215463.111346,329745,33554432,0.000,1.402971,0.018736,-1.016751,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
451683,1763331362863925,0.000000000,0.000000000,1,215463.118346,329745,33554432,0.000,1.402975,0.018753,-1.016746,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
458662,1763331362870903,0.000000000,0.000000000,1,215463.125346,329745,33554432,0.000,1.402978,0.018756,-1.016743,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
465665,1763331362877907,0.000000000,0.000000000,1,215463.132346,329745,33554432,0.000,1.402977,0.018756,-1.016737,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
472685,1763331362884926,0.000000000,0.000000000,1,215463.139346,329745,33554432,0.000,1.402975,0.018748,-1.016737,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
479678,1763331362891919,0.000000000,0.000000000,1,215463.146346,329745,33554432,0.000,1.402978,0.018749,-1.016732,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
486642,1763331362898883,0.000000000,0.000000000,1,215463.153346,329745,33554432,0.000,1.402981,0.018750,-1.016736,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
493658,1763331362905899,0.000000000,0.000000000,1,215463.160346,329745,33554432,0.000,1.402994,0.018752,-1.016730,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
500635,1763331362912876,0.000000000,0.000000000,1,215463.167346,329745,33554432,0.000,1.402995,0.018750,-1.016723,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
507623,1763331362919864,0.000000000,0.000000000,1,215463.174346,329745,33554432,0.000,1.403001,0.018760,-1.016720,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
514762,1763331362927003,0.000000000,0.000000000,1,215463.181346,329745,33554432,0.000,1.402999,0.018761,-1.016725,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
521740,1763331362933981,0.000000000,0.000000000,1,215463.188346,329745,33554432,0.000,1.403019,0.018770,-1.016714,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
528665,1763331362940906,0.000000000,0.000000000,1,215463.195346,329745,33554432,0.000,1.403004,0.018767,-1.016721,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
535653,1763331362947895,0.000000000,0.000000000,1,215463.202346,329745,33554432,0.000,1.403015,0.018764,-1.016713,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
542626,1763331362954867,0.000000000,0.000000000,1,215463.209346,329745,33554432,0.000,1.403018,0.018762,-1.016717,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
549621,1763331362961863,0.000000000,0.000000000,1,215463.216346,329745,33554432,0.000,1.403012,0.018756,-1.016732,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
556746,1763331362968988,0.000000000,0.000000000,1,215463.223346,329745,33554432,0.000,1.403016,0.018761,-1.016732,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
563723,1763331362975964,0.000000000,0.000000000,1,215463.230346,329745,33554432,0.000,1.403007,0.018749,-1.016738,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
570657,1763331362982899,0.000000000,0.000000000,1,215463.237346,329745,33554432,0.000,1.403009,0.018744,-1.016739,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
577761,1763331362990003,0.000000000,0.000000000,1,215463.244346,329745,33554432,0.000,1.402996,0.018747,-1.016731,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
584730,1763331362996971,0.000000000,0.000000000,1,215463.251346,329745,33554432,0.000,1.403000,0.018749,-1.016729,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
591769,1763331363004010,0.000000000,0.000000000,1,215463.258346,329745,33554432,0.000,1.402997,0.018756,-1.016715,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
598733,1763331363010974,0.000000000,0.000000000,1,215463.265346,329745,33554432,0.000,1.403003,0.018763,-1.016713,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
605721,1763331363017963,0.000000000,0.000000000,1,215463.272346,329745,33554432,0.000,1.403009,0.018758,-1.016711,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
