monotonic_ns,timestamp_ns,time_s,status,pqr_P_rad_s,pqr_Q_rad_s,pqr_R_rad_s,acc_X_m_s2,acc_Y_m_s2,acc_Z_m_s2
83932848,1763493606782102630,377706.672346,4128768,0.000271,-0.000647,-0.002603,0.375686,-9.736132,-0.797932
84911326,1763493606783081108,377706.673346,4128768,-0.000176,-0.000651,-0.000979,0.370887,-9.739355,-0.801091
85889748,1763493606784059530,377706.674346,4128768,-0.000529,-0.001054,-0.005065,0.374148,-9.745728,-0.801106
86868633,1763493606785038416,377706.675346,4128768,0.003136,-0.005153,-0.000521,0.380468,-9.742518,-0.801054
87861556,1763493606786031338,377706.676346,4128768,-0.000946,0.000967,-0.004254,0.366134,-9.745840,-0.802746
88881737,1763493606787051520,377706.677346,4128768,0.000270,0.000603,-0.002633,0.374243,-9.756954,-0.809027
89872086,1763493606788041905,377706.678346,4128768,-0.003814,-0.000671,-0.002638,0.375729,-9.752124,-0.801059
90860601,1763493606789030383,377706.679346,4128768,0.002305,-0.001044,-0.001367,0.361370,-9.742609,-0.810712
91861227,1763493606790031028,377706.680346,4128768,0.001494,0.002236,-0.002616,0.374237,-9.728241,-0.828190
93002556,1763493606791172320,377706.681346,4128768,0.000671,-0.000231,-0.001389,0.362975,-9.750504,-0.805917
93982830,1763493606792152613,377706.682346,4128768,-0.000957,-0.003525,-0.001360,0.372542,-9.755328,-0.802629
94963012,1763493606793132794,377706.683346,4128768,0.000631,-0.000632,0.001080,0.369277,-9.752120,-0.791552
95958045,1763493606794127846,377706.684346,4128768,0.000654,-0.000218,0.001891,0.370990,-9.756887,-0.799451
96939357,1763493606795109139,377706.685346,4128768,0.002682,-0.001859,-0.000963,0.378933,-9.742537,-0.804259
97920057,1763493606796089876,377706.686346,4128768,-0.002216,0.000593,-0.000995,0.374124,-9.744185,-0.799520
98918146,1763493606797087928,377706.687346,4128768,-0.000159,0.002687,0.001469,0.370901,-9.739398,-0.796379
99898698,1763493606798068499,377706.688346,4128768,-0.000171,-0.001040,0.001086,0.372426,-9.734568,-0.796355
100880713,1763493606799050495,377706.689346,4128768,-0.000549,-0.000651,-0.002616,0.364567,-9.750507,-0.794820
101868913,1763493606800038714,377706.690346,4128768,-0.000119,0.001820,-0.005082,0.366110,-9.741009,-0.804315
102864761,1763493606801034562,377706.691346,4128768,0.002691,0.001025,0.000262,0.361312,-9.745819,-0.802771
104003331,1763493606802173132,377706.692346,4128768,-0.001390,-0.001878,-0.002205,0.350110,-9.741076,-0.802807
104984957,1763493606803154721,377706.693346,4128768,0.001105,0.002646,-0.003853,0.356604,-9.742629,-0.804401
105965398,1763493606804135218,377706.694346,4128768,-0.003032,0.002254,0.000639,0.374013,-9.739375,-0.801075
106945432,1763493606805115233,377706.695346,4128768,-0.005462,-0.000264,-0.002224,0.366090,-9.739321,-0.794835
107925595,1763493606806095377,377706.696346,4128768,-0.003853,-0.001034,0.001446,0.356693,-9.747401,-0.809194
108915999,1763493606807085800,377706.697346,4128768,0.001907,0.000176,-0.001778,0.370957,-9.755358,-0.802656
109910014,1763493606808079796,377706.698346,4128768,0.000650,-0.000642,-0.000563,0.361497,-9.752220,-0.812293
110890529,1763493606809060311,377706.699346,4128768,-0.000972,0.001017,-0.000582,0.378836,-9.747469,-0.799443
111870729,1763493606810040530,377706.700346,4128768,-0.000561,-0.003110,-0.000569,0.364618,-9.736207,-0.815534
113009707,1763493606811179489,377706.701346,4128768,-0.002598,-0.001473,-0.000983,0.355020,-9.737869,-0.807633
113990055,1763493606812159837,377706.702346,4128768,-0.003064,0.001025,0.002696,0.374161,-9.745830,-0.804307
114970533,1763493606813140334,377706.703346,4128768,-0.001390,-0.000210,-0.000992,0.378974,-9.745769,-0.812161
115950807,1763493606814120608,377706.704346,4128768,0.003503,-0.003923,0.001092,0.369347,-9.745750,-0.807437
116947248,1763493606815117030,377706.705346,4128768,0.003514,-0.003098,-0.000536,0.366190,-9.750576,-0.810633
117927022,1763493606816096823,377706.706346,4128768,-0.002576,-0.000666,-0.003036,0.367809,-9.744186,-0.804307
118929426,1763493606817099208,377706.707346,4128768,0.003518,0.002687,-0.001786,0.362862,-9.739332,-0.790039
119911089,1763493606818080909,377706.708346,4128768,0.002281,-0.001054,0.000263,0.361367,-9.737830,-0.809181
120892678,1763493606819062461,377706.709346,4128768,-0.000546,-0.003133,-0.001774,0.359818,-9.736252,-0.809221
121873286,1763493606820043068,377706.710346,4128768,-0.002187,-0.001055,-0.000988,0.361414,-9.753817,-0.809090
122866245,1763493606821036046,377706.711346,4128768,-0.003000,-0.000663,-0.003863,0.374116,-9.747328,-0.807428
123881705,1763493606822051505,377706.712346,4128768,-0.000138,-0.002306,0.000690,0.375648,-9.752128,-0.804187
124881608,1763493606823051261,377706.713346,4128768,-0.003009,-0.004374,-0.000973,0.358045,-9.750608,-0.789990
125866383,1763493606824036184,377706.714346,4128768,-0.000575,-0.003527,0.000683,0.369322,-9.752188,-0.801036
127002916,1763493606825172717,377706.715346,4128768,0.000665,-0.001049,-0.000973,0.372540,-9.755356,-0.804218
127868376,1763493606826038176,377706.716346,4128768,0.000291,-0.002295,-0.003011,0.367686,-9.752129,-0.797888
128866594,1763493606827036358,377706.717346,4128768,0.003536,-0.001449,-0.000554,0.353215,-9.739310,-0.788501
130004405,1763493606828174206,377706.718346,4128768,-0.000574,-0.000666,-0.000577,0.370854,-9.745745,-0.791581
130997975,1763493606829167795,377706.719346,4128768,0.002306,-0.000206,-0.001375,0.367724,-9.740954,-0.799572
131976453,1763493606830146254,377706.720346,4128768,-0.001380,-0.002697,0.000662,0.350331,-9.741035,-0.813995
132956413,1763493606831126195,377706.721346,4128768,0.001875,0.000616,0.001094,0.369419,-9.753753,-0.807491
133934835,1763493606832104618,377706.722346,4128768,-0.001769,-0.001471,-0.001398,0.366134,-9.749006,-0.802742
134912943,1763493606833082744,377706.723346,4128768,-0.001361,0.000152,-0.005075,0.363137,-9.747477,-0.820252
135891328,1763493606834061111,377706.724346,4128768,-0.004229,-0.003140,-0.002214,0.378852,-9.747255,-0.783627
136876566,1763493606835046366,377706.725346,4128768,0.002297,-0.003527,0.000281,0.361540,-9.764975,-0.816997
137885580,1763493606836055400,377706.726346,4128768,0.001070,-0.001058,-0.001791,0.362913,-9.760157,-0.796266
138893595,1763493606837063359,377706.727346,4128768,0.004784,-0.002301,-0.004203,0.374065,-9.750526,-0.793110
139875129,1763493606838044930,377706.728346,4128768,0.002290,0.000217,0.001091,0.364495,-9.745747,-0.788456
141016384,1763493606839186148,377706.729346,4128768,0.001517,0.000997,-0.002613,0.367686,-9.732955,-0.796426
141996566,1763493606840166348,377706.730346,4128768,0.004379,0.001408,-0.003814,0.356510,-9.737824,-0.804353
142976896,1763493606841146678,377706.731346,4128768,0.001098,0.000612,-0.000977,0.372523,-9.740893,-0.807435
143957225,1763493606842127026,377706.732346,4128768,0.002663,0.001450,0.003121,0.375618,-9.739273,-0.799475
144953925,1763493606843123708,377706.733346,4128768,0.001891,-0.000629,-0.000148,0.361387,-9.745734,-0.802825
145934478,1763493606844104260,377706.734346,4128768,0.001879,0.001834,-0.001373,0.359712,-9.755388,-0.797914
146915030,1763493606845084830,377706.735346,4128768,0.002283,0.000195,0.001095,0.367712,-9.739315,-0.801160
147895711,1763493606846065512,377706.736346,4128768,0.001096,-0.002301,-0.001374,0.364529,-9.750560,-0.802698
148885985,1763493606847055749,377706.737346,4128768,-0.000539,-0.001878,-0.003015,0.369424,-9.761774,-0.812152
149867112,1763493606848036894,377706.738346,4128768,-0.001410,0.000615,0.001059,0.359775,-9.753771,-0.797933
151006200,1763493606849175982,377706.739346,4128768,0.000622,0.000621,0.001880,0.380550,-9.752159,-0.808923
152001141,1763493606850170923,377706.740346,4128768,0.002709,-0.001082,-0.004628,0.358215,-9.744184,-0.807555
152981934,1763493606851151735,377706.741346,4128768,0.002295,-0.001466,-0.001772,0.363056,-9.739374,-0.807604
153962208,1763493606852131990,377706.742346,4128768,0.006441,0.000608,-0.004216,0.364532,-9.760126,-0.789936
154942519,1763493606853112302,377706.743346,4128768,-0.000138,-0.000655,-0.002183,0.382145,-9.752147,-0.801027
155922849,1763493606854092650,377706.744346,4128768,0.003123,-0.000646,-0.001353,0.362923,-9.755247,-0.791596
156904216,1763493606855073980,377706.745346,4128768,0.001069,0.001437,-0.001383,0.369428,-9.731438,-0.817108
157884953,1763493606856054736,377706.746346,4128768,0.003120,-0.005181,-0.002570,0.359786,-9.736259,-0.812356
158911431,1763493606857081213,377706.747346,4128768,-0.000158,0.001016,-0.000571,0.359643,-9.748995,-0.796305
159891946,1763493606858061765,377706.748346,4128768,0.000689,-0.000675,-0.002187,0.377216,-9.747286,-0.793114
160878054,1763493606859047743,377706.749346,4128768,0.003548,-0.004365,-0.002149,0.366063,-9.739359,-0.794824
161873624,1763493606860043425,377706.750346,4128768,0.001496,0.001408,-0.000967,0.364581,-9.747372,-0.805941
163010602,1763493606861180421,377706.751346,4128768,-0.002596,-0.000250,0.000255,0.367805,-9.752125,-0.801177
163989246,1763493606862159029,377706.752346,4128768,0.004754,0.000613,-0.001359,0.372689,-9.766579,-0.816875
165001039,1763493606863170821,377706.753346,4128768,0.000681,0.001830,-0.003025,0.364557,-9.760158,-0.796308
165994609,1763493606864164410,377706.754346,4128768,0.000643,-0.001868,0.001085,0.359786,-9.750530,-0.802742
166973439,1763493606865143222,377706.755346,4128768,-0.000160,0.000186,-0.001815,0.372548,-9.742537,-0.797964
167951954,1763493606866121755,377706.756346,4128768,-0.000179,-0.001863,0.001485,0.375771,-9.755347,-0.797879
168941136,1763493606867110918,377706.757346,4128768,0.003945,-0.000240,-0.002179,0.369290,-9.745763,-0.801104
169920540,1763493606868090322,377706.758346,4128768,0.000225,-0.002694,0.000259,0.356540,-9.755420,-0.791645
170899018,1763493606869068819,377706.759346,4128768,0.001075,0.001836,-0.002625,0.378876,-9.760197,-0.810470
171877588,1763493606870047371,377706.760346,4128768,-0.001000,-0.002265,0.004362,0.375543,-9.747314,-0.786735
172877548,1763493606871047330,377706.761346,4128768,0.003549,-0.001484,-0.003813,0.378892,-9.756903,-0.799424
173858155,1763493606872027956,377706.762346,4128768,0.000271,-0.000240,-0.003838,0.386893,-9.742541,-0.804199
174857633,1763493606873027453,377706.763346,4128768,0.002718,0.001427,-0.001791,0.372504,-9.748903,-0.797913
175857963,1763493606874027764,377706.764346,4128768,-0.001771,-0.002283,-0.002604,0.372409,-9.740919,-0.791567
177004866,1763493606875174649,377706.765346,4128768,0.002322,-0.001871,-0.000545,0.367791,-9.747324,-0.794856
177985233,1763493606876155015,377706.766346,4128768,0.000284,0.000589,-0.002622,0.366206,-9.739393,-0.802838
178982618,1763493606877152419,377706.767346,4128768,0.000291,-0.000660,-0.005055,0.366260,-9.749007,-0.809072
179978763,1763493606878148564,377706.768346,4128768,0.000679,0.001803,-0.003438,0.367688,-9.745731,-0.797922
180960630,1763493606879130412,377706.769346,4128768,0.001471,-0.002286,-0.000551,0.353214,-9.739346,-0.783696
181941237,1763493606880111057,377706.770346,4128768,0.000241,0.000995,0.000254,0.370943,-9.736153,-0.799579
182921104,1763493606881090924,377706.771346,4128768,-0.000551,-0.004775,-0.001369,0.369400,-9.745696,-0.802729
183902008,1763493606882071791,377706.772346,4128768,0.001523,-0.000659,-0.005052,0.366250,-9.755386,-0.805884
184883412,1763493606883053194,377706.773346,4128768,0.000261,0.001815,-0.003441,0.361362,-9.750546,-0.796408
185863835,1763493606884033635,377706.774346,4128768,0.001910,0.000191,-0.002193,0.366107,-9.737827,-0.798016
186859368,1763493606885029187,377706.775346,4128768,-0.000549,-0.000228,-0.000980,0.364547,-9.752140,-0.801112
187861438,1763493606886031239,377706.776346,4128768,-0.002220,-0.000622,0.001047,0.367590,-9.744122,-0.790024
188875787,1763493606887045569,377706.777346,4128768,-0.001371,-0.001479,-0.001396,0.361418,-9.747400,-0.810691
189873728,1763493606888043528,377706.778346,4128768,-0.000156,-0.001456,0.000670,0.369343,-9.764887,-0.797860
190854391,1763493606889024173,377706.779346,4128768,-0.000980,0.000620,0.001057,0.363004,-9.739332,-0.794904
191993535,1763493606890163317,377706.780346,4128768,-0.002214,-0.000219,-0.000183,0.370800,-9.744089,-0.791541
192973976,1763493606891143777,377706.781346,4128768,0.001895,-0.000227,-0.000550,0.372472,-9.742496,-0.801089
193989176,1763493606892158995,377706.782346,4128768,-0.000979,-0.000620,-0.000159,0.369292,-9.731424,-0.805890
