timestamp,lat,lon,alt,roll,pitch,yaw,vel_x,vel_y,vel_z
1760402313511221,0.000000000,0.000000000,0.000,0.608179,0.042258,-0.942963,0.000000,0.000000,0.000000
1760402313518271,0.000000000,0.000000000,0.000,0.608172,0.042265,-0.942973,0.000000,0.000000,0.000000
1760402313525203,0.000000000,0.000000000,0.000,0.608173,0.042267,-0.942971,0.000000,0.000000,0.000000
1760402313532242,0.000000000,0.000000000,0.000,0.608180,0.042265,-0.942973,0.000000,0.000000,0.000000
1760402313539283,0.000000000,0.000000000,0.000,0.608185,0.042271,-0.942976,0.000000,0.000000,0.000000
1760402313546321,0.000000000,0.000000000,0.000,0.608195,0.042270,-0.942965,0.000000,0.000000,0.000000
1760402313553199,0.000000000,0.000000000,0.000,0.608203,0.042263,-0.942967,0.000000,0.000000,0.000000
1760402313560236,0.000000000,0.000000000,0.000,0.608202,0.042257,-0.942967,0.000000,0.000000,0.000000
1760402313567295,0.000000000,0.000000000,0.000,0.608189,0.042251,-0.942969,0.000000,0.000000,0.000000
1760402313574333,0.000000000,0.000000000,0.000,0.608188,0.042253,-0.942972,0.000000,0.000000,0.000000
1760402313581234,0.000000000,0.000000000,0.000,0.608194,0.042251,-0.942970,0.000000,0.000000,0.000000
1760402313588297,0.000000000,0.000000000,0.000,0.608191,0.042254,-0.942973,0.000000,0.000000,0.000000
1760402313595198,0.000000000,0.000000000,0.000,0.608183,0.042252,-0.942970,0.000000,0.000000,0.000000
1760402313602254,0.000000000,0.000000000,0.000,0.608182,0.042247,-0.942976,0.000000,0.000000,0.000000
1760402313609314,0.000000000,0.000000000,0.000,0.608174,0.042246,-0.942974,0.000000,0.000000,0.000000
1760402313616204,0.000000000,0.000000000,0.000,0.608173,0.042248,-0.942973,0.000000,0.000000,0.000000
1760402313623274,0.000000000,0.000000000,0.000,0.608171,0.042251,-0.942975,0.000000,0.000000,0.000000
1760402313630312,0.000000000,0.000000000,0.000,0.608164,0.042259,-0.942977,0.000000,0.000000,0.000000
1760402313637225,0.000000000,0.000000000,0.000,0.608167,0.042256,-0.942971,0.000000,0.000000,0.000000
1760402313644264,0.000000000,0.000000000,0.000,0.608165,0.042264,-0.942973,0.000000,0.000000,0.000000
1760402313651306,0.000000000,0.000000000,0.000,0.608166,0.042272,-0.942984,0.000000,0.000000,0.000000
1760402313662555,0.000000000,0.000000000,0.000,0.608160,0.042280,-0.942985,0.000000,0.000000,0.000000
